date,title,price,description,skills,url
2024-02-24,Private Gambling Website Development,£24 - £197,"I am seeking a professional to design and set up a private gambling website for myself and a few friends. This platform will be hosted in Russia, in compliance with local regulations. 

Key features required include:
- User registration and login capabilities
- A resilient virtual currency system
- Engaging multiplayer gaming modules

Moreover, emphasis should be placed on creating a robust system that guarantees strict data privacy and security, as this is a non-negotiable regulatory requirement in Russia. 

The ideal candidate has experience with setting up similar platforms, understands the nuances of gambling site operations, and demonstrates knowledge of related Russian laws. Please share relevant past experiences and strategies you plan to implement in your bid. Thank you.",Website Design,https://www.freelancer.co.uk/jobs/?keyword=python/projects/indesign/pdf-word-conversion-37800644
2024-02-24,E-Commerce Mobile App UI/UX Design,"£1631
                                (Avg Bid)","I'm seeking an experienced mobile app UI/UX designer to craft an appealing and functional interface for my e-commerce app that is exclusively designed for iOS users. 

- Key Features: The design needs to incorporate innovative and interactive product images to enhance user experience. 

- Ideal Skills: Exceptional graphic design abilities, proficiency in UI/UX software, strong understanding of mobile design and user behaviour, previous experience in designing retail or e-commerce apps.

Please provide a portfolio showcasing similar work. I look forward to seeing your creative talents!",Website Design,https://www.freelancer.co.uk/jobs/?keyword=python/projects/graphic-design/commerce-mobile-app-design-37804994
2024-02-24,Dynamic Clo3D Fashion Design Specialist,£14 - £119,"I'm seeking a proficient Clo3D user equipped to handle a range of tasks in the software. The goal is to create virtual prototypes and realistic simulations of bespoke fashion designs, with a focus on an engaging, interactive 3D environment. Key project tasks include:

1. **3D Fashion Design Creation** - Leverage your design skills and strong sense of fashion to create stunning, detailed 3D designs based on my ideas and specifications.

2. **Fabric Behavior Simulation** - Implement virtual representations of fabric behavior that add depth and realism to the designs.

3. **Tech Packs Generation** - Create comprehensive tech packs that can be passed on to manufacturers, ensuring alignment within the production process.

Ideal candidate should have a robust understanding of fabric texture...",Product Design,https://www.freelancer.co.uk/jobs/?keyword=python/projects/3d-animation/dynamic-clo-fashion-design-specialist
2024-02-24,Electromagnetic Relay product development,"£84
                                (Avg Bid)",I am seeking an experienced electrical engineer to built simple electromagnet relay that combines the applications of a permanent magnet and an electromagnet. This innovative device will be used mainly for controlling mechanical movement in an automated process. A significant function it needs to have is position control.,PCB Layout,https://www.freelancer.co.uk/jobs/?keyword=python/projects/electronics/electromagnetic-relay-product
2024-02-24,Text to AI animation Video.,"£502
                                (Avg Bid)","I require a machine learning engineer to create a predictive algorithm that generates Vector animation videos. The video style should converge towards the 'Motion Graphics' genre and include elements such as animals, objects and human characters. Key skills and experience needed for the project:
- Proficiency in Machine Learning techniques, particularly predictive analysis
- Working knowledge of Vector Animation video generation
- Ability to incorporate diverse elements into animation videos: animals, objects, and human characters
- Familiarity with 'Motion Graphics' video style.",Stable Diffusion,https://www.freelancer.co.uk/jobs/?keyword=python/projects/machine-learning/text-animation-video
2024-02-24,Technical English to Italian Translation,"£197
                                (Avg Bid)","I'm seeking a skilled translator to precisely transpose technical documents from English to Italian. 

- Strong command in both English and Italian is mandatory
- Proven experience translating technical documents is essential
- Attention to detail, high levels of accuracy and understanding technical terminologies is critical

In your bid, please provide evidence of your translation experience, particularly within a technical setting. The project will commence immediately for the right candidate.",Translation,https://www.freelancer.co.uk/jobs/?keyword=python/projects/translation/technical-english-italian-translation
2024-02-24,Custom Yocto Linux Build for Variscite SOM,"£23 / hr
                                (Avg Bid)","I am in need of a skilled embedded software engineer able to create a customized Yocto Linux Build specifically for my Variscite MX93 V2-A SOM module.

The build must include these specific features:
- WiFi support
- Bluetooth support
- Custom device drivers
- CAN x2 support

Build Instructions and Resources can be found at 

I also need the build to be based on a specific kernel version (Kernel V6.1.36).

Ideal candidates should have experience in Linux operating systems, with specific knowledge of Yocto Linux being a major advantage. Experience in custom software builds and creating device specific drivers would certainly make you standout. Effective communication is critical for this project, as I look forward to regularly reviewing your progress and making necessary adjustments.",Software Architecture,https://www.freelancer.co.uk/jobs/?keyword=python/projects/linux/custom-yocto-linux-build-for
2024-02-24,Logo & Palette for Car Rental,"£50
                                (Avg Bid)","I'm seeking a talented and seasoned branding expert who can help my car rental service become the top choice for tourists. We need a logo and color palette design that visually presents my company as reliable and committed to service quality. If you have a strong background in branding, especially in the hospitality or tourism sector, you might be the perfect fit for this project. 

Key Aspects:

- Logo Design: Should resonate with trustworthiness and dedication to seamless service.
- Color Palette Selection: Pick colors that depict a reliable but still exciting and appealing brand.

Skills & Experience:

- Proven experience in logo design and color palette selection
- Understanding of the tourism sector and its clientele
- Strong portfolio which includes work similar to our needs...",Photoshop,https://www.freelancer.co.uk/jobs/?keyword=python/projects/logo-design/logo-palette-for-car-rental
2024-02-24,Advanced HV Substation Design Specialist,"£13 / hr
                                (Avg Bid)","I'm looking for an advanced level engineering professional specialized in secondary systems design and documentation for HV Substations. Here are the tasks you will be involved in: 

Key Responsibilities:
- Undertake secondary systems design and documentation related to HV substations.

Qualifications and Skills:
- Advanced experience with secondary systems design and documentation is required.
- Proficiency in AutoCAD is mandatory.

This is a great opportunity for seasoned professionals seeking challenging projects. Let's create efficient and reliable HV substations for UK projects. Looking forward to your proposals.",Engineering,https://www.freelancer.co.uk/jobs/?keyword=python/projects/autocad/advanced-substation-design-specialist
2024-02-24,Online Lesson E-learning Curriculum Planner / developer ( Edison Coding and Robotics ) -- 24 Feb 2024,"£324
                                (Avg Bid)","I am looking for a freelancer to create an online e-learning curriculum (Edison Coding and Robotics ) for  students focuses on coding and robotics. 

Create the lesson resources( instructional video , step by step guide , quizzes , lesson plan etc) to be currate into our LMS
Looking into developing 3 levels ( basic , intermediate and advance ) per course.
36 lessons x 1 hour per level .

course delivery include :
-modify/create online lesson into our LMS for students self learning (elearning)
- modify/create Quiz and interactive gamification during the learning .
- modify/create Assessment and upload of project at this end of the day
- modify/create Lesson plan briefing guide
- modify/create Teacher Planning guide
- Each lesson will comprise of lab assignments-100% practical for hands on ....",eLearning Designer,https://www.freelancer.co.uk/jobs/?keyword=python/projects/education-tutoring/online-lesson-learning-curriculum-37804985
2024-02-24,Android Java Developer Urgently Needed,"£114
                                (Avg Bid)","I am in a pressing need of an efficient Android Java Developer who can help me with publishing my app updates to Google Playstore as soon as possible. 

Key requirements:

• Extensive experience in Android SDK, Kotlin programming, and RESTful API integration.
• Proficient with the Android Java library.
• Substantial knowledge of the nitty-gritty of publishing an updated application on Google Playstore.
• Must be able to deliver the project ASAP.

With your remarkable skills and expertise, I am confident that you can provide the quality of service I am looking for.",RESTful,https://www.freelancer.co.uk/jobs/?keyword=python/projects/android/android-java-developer-urgently-needed
